stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station
51843,Rosemont / Chabot,45.541966,-73.590302,0,
51844,Rosemont / Chabot,45.541671,-73.590334,0,
51845,de l'Église / Hadley,45.463924,-73.592187,0,
51846,de l'Église / Hadley,45.463836,-73.592484,0,
51847,Henri-Bourassa / L.-J.- Forget,45.620883,-73.588294,0,
51848,Saint-Urbain / Villeneuve,45.520313,-73.590704,0,
51849,Maurice-Duplessis / Clément-Ader,45.632574,-73.587839,0,
51850,Maurice-Duplessis / Clément-Ader,45.632636,-73.58816,0,
51851,Saint-Antoine / Lenoir,45.47635,-73.591576,0,
51852,Saint-Grégoire / De La Roche,45.533044,-73.589896,0,
51853,Bélanger / 19e Avenue,45.56294,-73.589184,0,
51854,Bélanger / 19e Avenue,45.562583,-73.589294,0,
51855,Saint-Joseph / De Bullion,45.524085,-73.589979,0,
